date,headline
2024-01-01,Japan earthquakes: ‘battle against time’ to find those trapped under rubble as death toll rises
2024-01-01,Ethiopia and Somaliland reach agreement over access to ports
2024-01-01,Japan orders people to evacuate after 7.6-magnitude quake hits west coast
2024-01-01,Israel supreme court strikes down Netanyahu’s judicial overhaul law
2024-01-01,Displaced woman gives birth to quadruplets in central Gaza – video
2024-01-01,Japan earthquake news – as it happened: highest-level tsunami warning dropped
2024-01-01,‘All of Denmark is crying’: Danes react to Margrethe II’s abdication
2024-01-01,Russia launches 90 drone attacks on Ukraine in early hours of new year
2024-01-01,Israel to withdraw some troops from Gaza amid new campaign planning
2024-01-01,Iran rejects US and UK calls to end support for Houthi Red Sea attacks
2024-01-01,Why Labour needs to decide whether to break the consensus on Israel
2024-01-01,Russia-Ukraine war: Putin calls Ukrainian strikes on Belgorod ‘terrorist act’ that ‘will not go unpunished’ – as it happened
2024-01-01,"Italy’s oldest man, Tripoli Giannini, dies at age of 111"
2024-01-01,Facial recognition could replace passports at UK airport e-gates
2024-01-01,‘We live on 7 October’: Hamas victim Maya Puder remembered by her family
2024-01-01,Irish police investigate fire at disused pub set to house homeless families
2024-01-01,Same-sex couples able to marry in Estonia from New Year’s Day
2024-01-01,Nobel laureate Muhammad Yunus convicted of violating Bangladesh’s labour laws
2024-01-01,New year celebrations around the world – in pictures
2024-01-01,Strong earthquakes hit Japan's west coast – video
2024-01-01,Plane detained in France sheds light on Nicaragua’s role in US migrant crisis
2024-01-01,Denmark's Queen Margrethe II announces abdication on live TV – video
2024-01-01,Vietnam’s love affair with motorbikes and mopeds – in pictures
2024-01-01,Senegal tackles prison overcrowding – in pictures
2024-01-01,"Monday briefing: Happy new year? Guardian writers look ahead to 2024 in politics, culture and more"
2024-01-01,Xi Jinping says Chinese business having ‘tough time’ in new year message
2024-01-01,Zelenskiy says Ukraine has become stronger as war moves towards its second year
2024-01-01,At least 100 people killed in Gaza in past 24 hours as conflict rolls into new year – as it happened
2024-01-01,Russia-Ukraine war at a glance: what we know on day 677
2024-01-01,New Year’s Eve celebrations around the world as 2024 begins – as it happened
2024-01-02,Senior Hamas figure Saleh al-Arouri killed in Lebanon
2024-01-02,Saleh al-Arouri: assassinated leader was Hamas’s link to Iran and Hezbollah
2024-01-02,Aftermath of the purported attack that killed senior Hamas figure in Lebanon – video
2024-01-02,"Gaza death toll passes 22,000 as Israel steps up war against Hamas"
2024-01-02,Meloni faces questions after Italian MP’s gun fired at New Year’s Eve party
2024-01-02,Russian missiles pound Kyiv as Putin vows to intensify attacks on Ukraine
2024-01-02,Japan: plane collision at Tokyo airport leaves five dead on coastguard aircraft but Japan Airlines passengers evacuate – as it happened
2024-01-02,Jimmy Lai pleads not guilty to all charges at Hong Kong national security trial
2024-01-02,"West ‘colluding in terrible failure’ in Gaza, warns Peter Hain"
2024-01-02,Japan plane crash: a visual guide to the Tokyo airport collision
2024-01-02,‘Perilous and chaotic’: why officials are nervy before a likely UK election in 2024
2024-01-02,"Beaver ponds may exacerbate warming in Arctic, scientists say"
2024-01-02,Russia-Ukraine war: At least five dead after Russian missile attacks on Ukraine; Russia accidentally bombs own village – as it happened
2024-01-02,Rescue efforts in Japan hampered as hundreds still missing after earthquake – video
2024-01-02,‘Miracle’ escape for passengers after horrific runway crash at Tokyo airport
2024-01-02,Renewed Russian strikes offer grim portent for Ukraine in 2024
2024-01-02,Russia launches strikes across Ukraine as Putin vows to intensify attacks – video
2024-01-02,Spanish forward Jenni Hermoso gives evidence in court on Rubiales kiss
2024-01-02,Poland replaces Venice Biennale submission made under previous nationalist government
2024-01-02,Aerial footage shows destruction in Japan after earthquake – video
2024-01-02,Israel’s judicial overhaul plans: what is row about and will it affect war in Gaza?
2024-01-02,Somalia vows to defend sovereignty after Ethiopia-Somaliland deal
2024-01-02,Hong Kong beat China at football for first time in 29 years
2024-01-02,Japan: plane engulfed in flames after colliding with coastguard aircraft – video
2024-01-02,Rare sighting of tiger and cubs raises hopes for species in Thailand
2024-01-02,‘Ramen noodles budget’: EU moves to end exploitation of unpaid internships
2024-01-02,Israel-Gaza war: will the Red Sea crisis lead to a wider Middle East conflict?
2024-01-02,Japan’s deadly earthquakes spark fires and destroy buildings – in pictures
2024-01-02,Tuesday briefing: Will the Red Sea crisis lead to a wider Middle East conflict?
2024-01-02,‘Era of gigantism is over’: why Paris chose banlieue for its Olympic Village
2024-01-02,Lee Jae-myung stabbing: footage shows attack on South Korea opposition leader – video
2024-01-02,"Pilot killed in Sea World Helicopters mid-air crash had taken cocaine, ATSB states"
2024-01-02,South Korea opposition leader Lee Jae-myung stabbed in the neck
2024-01-02,IDF claims to have killed regional Hamas commander – as it happened
2024-01-02,Australian serving in Israeli armoured brigade reportedly killed in Gaza
2024-01-02,Russia-Ukraine war at a glance: what we know on day 678
